symbol,date,price
AMZN,9/29/2020,738163
AMZN,9/30/2020,743216
AMZN,10/1/2020,748315
AMZN,10/2/2020,753090
AMZN,10/3/2020,757953
AMZN,10/4/2020,761665
AMZN,10/5/2020,789780
AMZN,10/6/2020,794608
AMZN,10/7/2020,799188
AMZN,10/8/2020,804488
AMZN,10/9/2020,810020
AMZN,10/10/2020,814328
AMZN,10/11/2020,817503
AMZN,10/12/2020,821045
AMZN,10/13/2020,825340
AMZN,10/14/2020,829396
AMZN,10/15/2020,834910
AMZN,10/16/2020,841661
AMZN,10/17/2020,847108
AMZN,10/18/2020,851227
AMZN,10/19/2020,854926
AMZN,10/20/2020,860714
AMZN,10/21/2020,867559
AMZN,10/22/2020,874171
AMZN,10/23/2020,880775
AMZN,10/24/2020,886800
AMZN,10/25/2020,891160
AMZN,10/26/2020,895326
AMZN,10/27/2020,901268
AMZN,10/28/2020,906863
AMZN,10/29/2020,912811
AMZN,10/30/2020,918811
AMZN,10/31/2020,924962
AMZN,11/1/2020,929392
AMZN,11/2/2020,933155
AMZN,11/3/2020,938405
AMZN,11/4/2020,943630
AMZN,11/5/2020,949197
AMZN,11/6/2020,955128
AMZN,11/7/2020,961938
AMZN,11/8/2020,967825
AMZN,11/9/2020,972785
AMZN,11/10/2020,978531
AMZN,11/11/2020,986177
AMZN,11/12/2020,991835
AMZN,11/13/2020,997393
AMZN,11/14/2020,1003253
AMZN,11/15/2020,1006522
AMZN,11/16/2020,1009396
AMZN,11/17/2020,1011153
AMZN,11/18/2020,1015071
AMZN,11/19/2020,1019543
AMZN,11/20/2020,1025969
AMZN,11/21/2020,1032688
AMZN,11/22/2020,1041875
AMZN,11/23/2020,1049358
AMZN,11/24/2020,1060152
AMZN,11/25/2020,1070487
AMZN,11/26/2020,1078594
AMZN,11/27/2020,1090675
AMZN,11/28/2020,1101403
AMZN,11/29/2020,1107071
AMZN,11/30/2020,1113543
AMZN,12/1/2020,1122362
AMZN,12/2/2020,1133613
AMZN,12/3/2020,1144643
AMZN,12/4/2020,1156770
AMZN,12/5/2020,1168395
AMZN,12/6/2020,1175850
AMZN,12/7/2020,1182249
AMZN,12/8/2020,1193255
AMZN,12/9/2020,1205229
AMZN,12/10/2020,1217126
AMZN,12/11/2020,1229379
AMZN,12/12/2020,1241436
AMZN,12/13/2020,1250044
AMZN,12/14/2020,1255974
AMZN,12/15/2020,1267202
AMZN,12/16/2020,1277499
AMZN,12/17/2020,1289298
AMZN,12/18/2020,1301546
AMZN,12/19/2020,1313675
AMZN,12/20/2020,1320545
AMZN,12/21/2020,1325915
AMZN,12/22/2020,1338426
AMZN,12/23/2020,1350079
AMZN,12/24/2020,1362564
AMZN,12/25/2020,1372243
AMZN,12/26/2020,1377217
AMZN,12/27/2020,1383434
AMZN,12/28/2020,1389430
AMZN,12/29/2020,1401529
AMZN,12/30/2020,1413935
AMZN,12/31/2020,1426094
AMZN,1/1/2021,1437185
AMZN,1/2/2021,1443544
AMZN,1/3/2021,1448755
AMZN,1/4/2021,1455219
AMZN,1/5/2021,1466490
AMZN,1/6/2021,1479835
AMZN,1/7/2021,1493569
AMZN,1/8/2021,1507931
AMZN,1/9/2021,1524036
AMZN,1/10/2021,1534039
AMZN,1/11/2021,1541633
AMZN,1/12/2021,1556028
AMZN,1/13/2021,1571901
AMZN,1/14/2021,1588369
AMZN,1/15/2021,1609735
MSFT,3/19/2020,1
MSFT,3/20/2020,2
MSFT,3/21/2020,2
MSFT,3/22/2020,3
MSFT,3/23/2020,4
MSFT,3/24/2020,5
MSFT,3/25/2020,6
MSFT,3/26/2020,8
MSFT,3/27/2020,12
MSFT,3/28/2020,16
MSFT,3/29/2020,20
MSFT,3/30/2020,28
MSFT,3/31/2020,29
MSFT,4/1/2020,37
MSFT,4/2/2020,50
MSFT,4/3/2020,60
MSFT,4/4/2020,79
MSFT,4/5/2020,94
MSFT,4/6/2020,125
MSFT,4/7/2020,141
MSFT,4/8/2020,174
MSFT,4/9/2020,194
MSFT,4/10/2020,233
MSFT,4/11/2020,273
MSFT,4/12/2020,296
MSFT,4/13/2020,332
MSFT,4/14/2020,406
MSFT,4/15/2020,449
MSFT,4/16/2020,486
MSFT,4/17/2020,546
MSFT,4/18/2020,650
MSFT,4/19/2020,686
MSFT,4/20/2020,712
MSFT,4/21/2020,857
MSFT,4/22/2020,970
MSFT,4/23/2020,1069
MSFT,4/24/2020,1221
MSFT,4/25/2020,1305
MSFT,4/26/2020,1351
MSFT,4/27/2020,1434
MSFT,4/28/2020,1569
MSFT,4/29/2020,1732
MSFT,4/30/2020,1859
MSFT,5/1/2020,1972
MSFT,5/2/2020,2061
MSFT,5/3/2020,2154
MSFT,5/4/2020,2271
MSFT,5/5/2020,2507
MSFT,5/6/2020,2704
MSFT,5/7/2020,2961
MSFT,5/8/2020,3160
MSFT,5/9/2020,3353
MSFT,5/10/2020,3465
MSFT,5/11/2020,3573
MSFT,5/12/2020,3926
MSFT,5/13/2020,4220
MSFT,5/14/2020,4477
MSFT,5/15/2020,4767
MSFT,5/16/2020,5045
MSFT,5/17/2020,5177
MSFT,5/18/2020,5332
MSFT,5/19/2020,5666
MSFT,5/20/2020,6090
MSFT,5/21/2020,6510
MSFT,5/22/2020,6989
MSFT,5/23/2020,7179
MSFT,5/24/2020,7394
MSFT,5/25/2020,7633
MSFT,5/26/2020,8134
MSFT,5/27/2020,8597
MSFT,5/28/2020,9044
MSFT,5/29/2020,9415
